Date,Symbol,Indexvalue
06.09.2013,V2TX,20.2292
09.09.2013,V2TX,20.4702
10.09.2013,V2TX,19.3143
11.09.2013,V2TX,18.4298
12.09.2013,V2TX,18.4084
13.09.2013,V2TX,18.3842
16.09.2013,V2TX,18.7198
17.09.2013,V2TX,18.987
18.09.2013,V2TX,18.1656
19.09.2013,V2TX,16.8696
20.09.2013,V2TX,16.7626
23.09.2013,V2TX,17.4539
24.09.2013,V2TX,16.6237
25.09.2013,V2TX,16.4038
26.09.2013,V2TX,16.4689
27.09.2013,V2TX,16.9196
30.09.2013,V2TX,19.4503
01.10.2013,V2TX,18.3242
02.10.2013,V2TX,19.2611
03.10.2013,V2TX,20.0589
04.10.2013,V2TX,19.5446
07.10.2013,V2TX,20.1564
08.10.2013,V2TX,20.8905
09.10.2013,V2TX,23.3614
10.10.2013,V2TX,19.8426
11.10.2013,V2TX,18.2601
14.10.2013,V2TX,20.1581
15.10.2013,V2TX,18.6214
16.10.2013,V2TX,18.5951
17.10.2013,V2TX,16.8333
18.10.2013,V2TX,15.4232
21.10.2013,V2TX,15.998
22.10.2013,V2TX,15.6057
23.10.2013,V2TX,16.6163
24.10.2013,V2TX,15.5581
25.10.2013,V2TX,15.0179
28.10.2013,V2TX,15.8884
29.10.2013,V2TX,15.1884
30.10.2013,V2TX,16.1548
31.10.2013,V2TX,15.888
01.11.2013,V2TX,16.205
04.11.2013,V2TX,16.2488
05.11.2013,V2TX,16.7541
06.11.2013,V2TX,16.828
07.11.2013,V2TX,16.69
08.11.2013,V2TX,17.2896
11.11.2013,V2TX,17.2356
12.11.2013,V2TX,17.2688
13.11.2013,V2TX,17.1273
14.11.2013,V2TX,15.9077
15.11.2013,V2TX,15.1624
18.11.2013,V2TX,15.3971
19.11.2013,V2TX,15.6565
20.11.2013,V2TX,15.5212
21.11.2013,V2TX,15.082
22.11.2013,V2TX,14.2629
25.11.2013,V2TX,14.5254
26.11.2013,V2TX,14.5147
27.11.2013,V2TX,14.117
28.11.2013,V2TX,13.8195
29.11.2013,V2TX,14.6502
02.12.2013,V2TX,15.4364
03.12.2013,V2TX,17.098
04.12.2013,V2TX,17.8791
05.12.2013,V2TX,18.378
06.12.2013,V2TX,16.4994
09.12.2013,V2TX,16.2138
10.12.2013,V2TX,16.7351
11.12.2013,V2TX,17.3558
12.12.2013,V2TX,18.0599
13.12.2013,V2TX,18.2036
16.12.2013,V2TX,18.4886
17.12.2013,V2TX,18.179
18.12.2013,V2TX,17.2028
19.12.2013,V2TX,15.4029
20.12.2013,V2TX,16.0088
23.12.2013,V2TX,15.8067
27.12.2013,V2TX,16.4643
30.12.2013,V2TX,17.2549
02.01.2014,V2TX,18.9286
03.01.2014,V2TX,18.0018
06.01.2014,V2TX,18.1672
07.01.2014,V2TX,17.1932
08.01.2014,V2TX,17.3671
09.01.2014,V2TX,17.3584
10.01.2014,V2TX,16.5627
13.01.2014,V2TX,17.0978
14.01.2014,V2TX,16.8066
15.01.2014,V2TX,16.5089
16.01.2014,V2TX,17.0561
17.01.2014,V2TX,15.7352
20.01.2014,V2TX,16.0913
21.01.2014,V2TX,16.1749
22.01.2014,V2TX,16.4469
23.01.2014,V2TX,17.5122
24.01.2014,V2TX,20.9333
27.01.2014,V2TX,20.6842
28.01.2014,V2TX,19.9723
29.01.2014,V2TX,21.8127
30.01.2014,V2TX,21.1181
31.01.2014,V2TX,21.8188
03.02.2014,V2TX,24.0207
04.02.2014,V2TX,23.0114
05.02.2014,V2TX,22.6486
06.02.2014,V2TX,20.801
07.02.2014,V2TX,19.2347
10.02.2014,V2TX,19.3075
11.02.2014,V2TX,17.6719
12.02.2014,V2TX,17.9259
13.02.2014,V2TX,17.4978
14.02.2014,V2TX,16.3821
17.02.2014,V2TX,17.2038
18.02.2014,V2TX,17.0973
19.02.2014,V2TX,17.448
20.02.2014,V2TX,17.7721
21.02.2014,V2TX,17.3772
24.02.2014,V2TX,16.7175
25.02.2014,V2TX,16.2399
26.02.2014,V2TX,16.1415
27.02.2014,V2TX,17.1187
28.02.2014,V2TX,16.7667
03.03.2014,V2TX,21.8609
04.03.2014,V2TX,18.6455
05.03.2014,V2TX,18.7004
06.03.2014,V2TX,17.8166
07.03.2014,V2TX,20.473
10.03.2014,V2TX,20.1237
11.03.2014,V2TX,19.7688
12.03.2014,V2TX,20.212
13.03.2014,V2TX,22.0896
14.03.2014,V2TX,23.2095
17.03.2014,V2TX,21.4617
18.03.2014,V2TX,20.1089
19.03.2014,V2TX,19.293
20.03.2014,V2TX,18.1292
21.03.2014,V2TX,17.1916
24.03.2014,V2TX,19.4248
25.03.2014,V2TX,18.2637
